,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
0,AS14.01,2014-03-21,0.13405,17978.907,0.2,0.2,0.009578,0.0,6.0,0.0,0.250766,0.056035,0.349348,0.0,6.4
1,AS14.01,2014-03-22,0.23688,6142.161,0.5,0.6,0.0,0.0,3.0,1.0,0.071576,0.015194,0.808008,0.0,6.8
2,AS14.01,2014-03-23,0.142741,6773.832001,0.8,0.2,0.0,0.0,0.0,0.0,0.132988,0.013928,0.773169,0.004486,6.0
3,AS14.01,2014-03-24,0.078961,15047.351001,0.0,0.8,0.0002,0.0,10.0,0.0,0.214232,0.064926,0.616097,0.0,6.75
4,AS14.01,2014-03-25,0.098374,21475.354999,0.5,0.5,0.0,0.0,0.0,1.0,0.08938,0.003176,0.478537,0.0,6.6
5,AS14.01,2014-03-26,0.101308,16423.801,0.6,-0.2,0.0,0.0,0.0,0.0,0.279598,0.055437,0.5473,0.0,7.0
6,AS14.01,2014-03-27,0.159511,17442.149999,0.8,0.2,0.01046,0.0,2.0,1.0,0.053628,0.036655,0.397687,0.0,6.4
7,AS14.01,2014-03-28,0.095698,4923.489,0.6,-0.6,0.0,0.047331,5.0,0.0,0.104142,0.204205,0.176061,0.0,8.0
8,AS14.01,2014-03-29,0.068203,8322.622,1.0,0.2,0.0,0.0,4.0,1.0,0.05682,0.195543,0.326903,0.0,7.5
9,AS14.01,2014-03-30,0.049093,4523.214001,0.75,-0.5,0.0,0.0,0.0,0.0,0.037072,0.33951,0.287076,0.0,7.4
10,AS14.01,2014-03-31,0.070505,11836.834,0.6,0.0,0.0,0.004323,6.0,0.0,0.114106,0.148597,0.450512,0.0,6.0
11,AS14.01,2014-04-01,0.118443,17173.906002,0.0,0.2,0.00538,0.013668,1.0,0.0,0.293472,0.060012,0.35493,0.0,6.5
12,AS14.01,2014-04-02,0.101917,21358.511,0.666667,0.333333,0.004236,0.0,4.0,0.0,0.160535,0.062897,0.324,0.0,6.4
13,AS14.01,2014-04-03,0.049238,21401.835001,0.0,-1.2,0.0,0.0,4.0,0.0,0.147382,0.060445,0.674619,0.0,6.2
14,AS14.01,2014-04-04,0.126689,12379.411,0.4,0.2,0.0,0.0,2.0,1.0,0.168522,0.124822,0.442802,0.0,6.8
15,AS14.01,2014-04-05,0.119002,3340.431,0.6,-0.4,0.0,0.0,0.0,0.0,0.108731,0.022862,0.564421,0.0,6.5
16,AS14.01,2014-04-06,0.064408,7467.322,0.5,-0.75,0.0,0.015321,4.0,0.0,0.043049,0.025071,0.44939,0.0,6.5
17,AS14.01,2014-04-07,0.050671,9846.381,0.25,-0.666667,0.001737,0.0,1.0,0.0,0.149844,0.04541,0.746976,0.0,6.6
18,AS14.01,2014-04-08,0.075327,15101.132002,0.333333,-0.4,0.0,0.0,1.0,0.0,0.175823,0.229551,0.627605,0.0,7.4
19,AS14.01,2014-04-09,0.120384,13558.289001,1.0,-0.8,0.0,0.0,4.0,0.0,0.208459,0.069387,0.455594,0.0,7.4
20,AS14.01,2014-04-10,0.078963,9296.098999,0.8,-0.4,0.002495,0.000114,7.0,0.0,0.126367,0.199965,0.525103,0.0,7.0
21,AS14.01,2014-04-11,0.079986,10526.846,0.8,-1.2,0.0,0.0,0.0,0.0,0.056694,0.187724,0.31696,0.0,7.25
