,id,day,screen,call,social,sms,builtin,utilities,arousal,finance,unknown,valence,office,activity,game,entertainment,weather,communication,travel,other,mood
26,AS14.01,2014-03-21,17978.90700006484,6.0,4508.500000000001,,3139.2180000000008,598.7539999999999,0.2,49.544,,0.2,172.20600000000002,0.1340501039893886,,1007.456,,6280.890000000003,915.4450000000002,239.75100000000003,6.2
27,AS14.01,2014-03-22,6142.160999536514,3.0,439.6319999999999,1.0,731.4290000000001,117.621,0.6,21.076,,0.5,,0.2368802192399581,,93.324,,4962.9180000000015,37.305,98.143,6.4
28,AS14.01,2014-03-23,6773.832001447676,,900.839,,1286.246,30.086,0.2,43.403000000000006,,0.8,,0.1427411158050636,,94.346,30.386,5237.318999999999,,72.82300000000001,6.8
29,AS14.01,2014-03-24,15047.351000547404,10.0,3223.6259999999997,,866.9559999999996,178.732,0.8,34.106,,0.0,3.01,0.0789610561155979,,976.971,,9270.629,419.805,66.55799999999999,6.0
30,AS14.01,2014-03-25,21475.354999065392,,1919.471,1.0,1032.7680000000005,222.893,0.5,43.054,235.223,0.5,,0.0983741123905067,,68.206,,10276.750999999998,,178.819,6.75
31,AS14.01,2014-03-26,16423.801000356674,,4592.058999999999,,1167.4969999999996,33.365,-0.2,52.331,,0.6,,0.1013083216700759,,910.479,,8988.753,,97.498,6.6
32,AS14.01,2014-03-27,17442.14999938011,2.0,935.381,1.0,1229.327,179.02899999999997,0.2,42.219,,0.8,182.451,0.1595106409690975,,639.3389999999999,,6936.512000000001,47.314,58.532,7.0
33,AS14.01,2014-03-28,4923.48899960518,5.0,512.741,,10062.595000000005,301.717,-0.6,89.16600000000001,,0.6,,0.0956980216371201,233.036,1005.403,,866.833,1133.009,225.951,6.4
34,AS14.01,2014-03-29,8322.6219997406,4.0,472.888,1.0,1952.63,600.6370000000001,0.2,,,1.0,,0.0682028101018696,,1627.429,,2720.692,52.435,169.594,8.0
35,AS14.01,2014-03-30,4523.214000940327,,167.685,,414.365,38.296,-0.5,,66.477,0.75,,0.049092970521542,,1535.677,,1298.505,,74.003,7.5
36,AS14.01,2014-03-31,11836.83400034904,6.0,1350.6549999999995,,2961.405,210.305,0.0,41.255,29.29,0.6,,0.0705054808833895,51.176,1758.9199999999998,,5332.637,183.381,268.554,7.4
37,AS14.01,2014-04-01,17173.906002044678,1.0,5040.067000000002,,1385.5170000000005,517.636,0.2,547.826,,0.0,92.388,0.1184432427127359,234.741,1030.637,,6095.526000000001,1614.621,121.19,6.0
38,AS14.01,2014-04-02,21358.510999917988,4.0,3428.7920000000004,,3614.349,341.371,0.3333333333333333,247.777,,0.6666666666666666,90.481,0.1019166106382234,,1343.376,,6920.155999999999,,541.541,6.5
39,AS14.01,2014-04-03,21401.835000753403,4.0,3154.241000000001,,2321.4640000000018,182.772,-1.2,76.234,,0.0,,0.049238472708441,,1293.631,,14438.081999999997,19.082,213.902,6.4
40,AS14.01,2014-04-04,12379.411000013357,2.0,2086.197,1.0,1957.829,128.692,0.2,,,0.4,,0.1266893112073258,,1545.227,,5481.628,158.241,176.80100000000002,6.2
