,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
0,0,01,0,0.13405,0.8140232679922983,0.2,0.2,0.009578,0.0,0.6,0.0,0.250766,0.056035,0.349348,0.0,6.4
1,1,01,1,0.23688,0.2780959915836287,0.5,0.6,0.0,0.0,0.3,0.25,0.071576,0.015194,0.808008,0.0,6.8
2,2,01,2,0.142741,0.3066958888148667,0.8,0.2,0.0,0.0,0.0,0.0,0.132988,0.013928,0.773169,0.004486,6.0
3,3,01,3,0.078961,0.6812924632438002,0.0,0.8,0.0002,0.0,1.0,0.0,0.214232,0.064926,0.616097,0.0,6.75
4,4,01,4,0.098374,0.972330445759618,0.5,0.5,0.0,0.0,0.0,0.25,0.08938,0.003176,0.478537,0.0,6.6
5,5,01,5,0.101308,0.7436134000178752,0.6,-0.2,0.0,0.0,0.0,0.0,0.279598,0.055437,0.5473,0.0,7.0
6,6,01,6,0.159511,0.7897207512669064,0.8,0.2,0.01046,0.0,0.2,0.25,0.053628,0.036655,0.397687,0.0,6.4
7,7,01,7,0.095698,0.2229187016599025,0.6,-0.6,0.0,0.047331,0.5,0.0,0.104142,0.204205,0.176061,0.0,8.0
8,8,01,8,0.068203,0.3768197899185194,1.0,0.2,0.0,0.0,0.4,0.25,0.05682,0.195543,0.326903,0.0,7.5
9,9,01,9,0.049093,0.2047956220543628,0.75,-0.5,0.0,0.0,0.0,0.0,0.037072,0.33951,0.287076,0.0,7.4
10,10,01,10,0.070505,0.5359312607469603,0.6,0.0,0.0,0.004323,0.6,0.0,0.114106,0.148597,0.450512,0.0,6.0
11,11,01,11,0.118443,0.777575582761543,0.0,0.2,0.00538,0.013668,0.1,0.0,0.293472,0.060012,0.35493,0.0,6.5
12,12,01,12,0.101917,0.9670401500864012,0.666667,0.333333,0.004236,0.0,0.4,0.0,0.160535,0.062897,0.324,0.0,6.4
13,13,01,13,0.049238,0.9690017123146568,0.0,-1.2,0.0,0.0,0.4,0.0,0.147382,0.060445,0.674619,0.0,6.2
14,14,01,14,0.126689,0.5604972870731133,0.4,0.2,0.0,0.0,0.2,0.25,0.168522,0.124822,0.442802,0.0,6.8
15,15,01,15,0.119002,0.1512432629593545,0.6,-0.4,0.0,0.0,0.0,0.0,0.108731,0.022862,0.564421,0.0,6.5
16,16,01,16,0.064408,0.33809473832813,0.5,-0.75,0.0,0.015321,0.4,0.0,0.043049,0.025071,0.44939,0.0,6.5
17,17,01,17,0.050671,0.445810373206629,0.25,-0.666667,0.001737,0.0,0.1,0.0,0.149844,0.04541,0.746976,0.0,6.6
18,18,01,18,0.075327,0.6837274825800655,0.333333,-0.4,0.0,0.0,0.1,0.0,0.175823,0.229551,0.627605,0.0,7.4
19,19,01,19,0.120384,0.6138728411564759,1.0,-0.8,0.0,0.0,0.4,0.0,0.208459,0.069387,0.455594,0.0,7.4
20,20,01,20,0.078963,0.420895490851914,0.8,-0.4,0.002495,0.000114,0.7,0.0,0.126367,0.199965,0.525103,0.0,7.0
21,21,01,21,0.079986,0.4766194954215878,0.8,-1.2,0.0,0.0,0.0,0.0,0.056694,0.187724,0.31696,0.0,7.25
22,22,01,22,0.072249,0.5320363437303132,0.75,-0.75,0.0,0.0,0.0,0.0,0.022503,0.186071,0.561245,0.0,8.0
23,23,01,23,0.014021,0.0908135284856191,1.0,-1.25,0.0,0.0,0.0,0.0,0.017202,0.124338,0.546825,0.0,7.2
24,24,01,24,0.083887,0.8143194220010995,0.6,-1.2,0.0,0.0,0.1,0.25,0.162464,0.348368,0.360641,0.0,6.4
25,25,01,25,0.090112,0.6150923201970002,0.8,0.0,0.0,0.0,0.8,0.25,0.325958,0.069526,0.458162,0.0,7.2
26,26,01,26,0.11611,0.5669747344506444,0.5,0.75,0.0,0.0,0.0,0.25,0.152754,0.034077,0.413258,0.0,6.6
27,27,01,27,0.056918,0.6799852833484814,0.6,-0.4,0.0,0.0,0.2,0.0,0.140304,0.009471,0.78925,0.0,6.8
28,28,01,28,0.094033,0.6108139559417305,0.8,-0.8,0.0,0.0,0.1,0.0,0.147799,0.057399,0.39595,0.0,7.8
44,46,02,0,0.289628,0.853681831171422,0.75,-0.75,0.0,0.0,0.4,0.1428571428571428,0.034782,0.041198,0.256228,0.0,6.5
45,47,02,1,0.446044,0.580777852724177,-0.5,-1.0,0.0,0.0,1.0,0.1428571428571428,0.053846,0.087345,0.244053,0.0,6.25
46,48,02,2,0.269697,0.346537545461072,0.0,-1.0,0.0,0.0,0.32,0.1428571428571428,0.03798,0.085701,0.406291,0.0,6.4
47,49,02,3,0.156125,0.2117129373533776,-0.2,0.2,0.0,0.0,0.2,0.0,0.084145,0.192295,1.088747,0.0,7.75
48,50,02,4,0.230514,0.3548679414996889,0.75,-1.25,0.0,0.0,0.28,0.0,0.032011,0.099105,0.601362,0.0,7.2
49,51,02,5,0.293953,0.4644677357425398,0.4,-1.2,0.0,0.0,0.2,0.0,0.257351,0.126391,0.417464,0.0,7.25
50,52,02,6,0.228849,0.4397775896588674,0.5,0.0,0.0,0.0,0.12,0.0,0.014158,0.085398,0.521499,0.0,6.8
51,53,02,7,0.261598,0.3037651880177826,0.6,-0.6,0.0,0.0,0.32,0.2857142857142857,0.684509,0.178266,0.313667,0.0,7.25
52,54,02,8,0.432469,0.3369504079932882,0.25,-0.75,0.0,0.0,0.16,0.0,0.11897,0.241474,0.486344,0.0,7.0
53,55,02,9,0.241887,0.3012751984054279,0.75,-1.0,0.0,0.0,0.4,0.1428571428571428,0.082016,0.32476,0.282155,0.0,7.2
54,56,02,10,0.156373,0.3653331062839913,0.4,-0.8,0.0,0.0,0.56,0.2857142857142857,0.427015,0.074352,0.519742,0.0,7.4
55,57,02,11,0.261961,0.252353586674373,0.8,-0.2,0.0,0.0,0.08,0.1428571428571428,0.057955,0.023342,0.401066,0.0,6.4
56,58,02,12,0.319121,0.526772802428362,-0.2,-0.6,0.0,0.0,0.08,0.0,0.046181,0.148385,0.42744,0.0,5.75
57,59,02,13,0.322506,0.5214522947219853,0.0,-0.25,0.0,0.0,0.08,0.0,0.017965,0.080535,0.52763,0.0,6.4
58,60,02,14,0.22727,0.2795676988407238,0.2,-1.2,0.0,0.0,0.2,0.0,0.038682,0.221639,0.768998,0.0,7.4
