,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
5,5,AS14.01,2014-03-26,0.101308,0.7436134000178752,0.6,-0.2,0.0,0.0,0.0,0.0,0.279598,0.055437,0.5473,0.0,7.0
22,22,AS14.01,2014-04-12,0.072249,0.5320363437303132,0.75,-0.75,0.0,0.0,0.0,0.0,0.022503,0.186071,0.561245,0.0,8.0
20,20,AS14.01,2014-04-10,0.078963,0.420895490851914,0.8,-0.4,0.002495,0.000114,0.7,0.0,0.126367,0.199965,0.525103,0.0,7.0
39,39,AS14.01,2014-04-29,0.102758,0.3564756680082718,1.0,-0.25,0.0,0.042334,0.0,0.0,0.052263,0.19846,0.487045,0.0,7.8
17,17,AS14.01,2014-04-07,0.050671,0.445810373206629,0.25,-0.666667,0.001737,0.0,0.1,0.0,0.149844,0.04541,0.746976,0.0,6.6
7,7,AS14.01,2014-03-28,0.095698,0.2229187016599025,0.6,-0.6,0.0,0.047331,0.5,0.0,0.104142,0.204205,0.176061,0.0,8.0
4,4,AS14.01,2014-03-25,0.098374,0.972330445759618,0.5,0.5,0.0,0.0,0.0,0.25,0.08938,0.003176,0.478537,0.0,6.6
16,16,AS14.01,2014-04-06,0.064408,0.33809473832813,0.5,-0.75,0.0,0.015321,0.4,0.0,0.043049,0.025071,0.44939,0.0,6.5
14,14,AS14.01,2014-04-04,0.126689,0.5604972870731133,0.4,0.2,0.0,0.0,0.2,0.25,0.168522,0.124822,0.442802,0.0,6.8
21,21,AS14.01,2014-04-11,0.079986,0.4766194954215878,0.8,-1.2,0.0,0.0,0.0,0.0,0.056694,0.187724,0.31696,0.0,7.25
19,19,AS14.01,2014-04-09,0.120384,0.6138728411564759,1.0,-0.8,0.0,0.0,0.4,0.0,0.208459,0.069387,0.455594,0.0,7.4
23,23,AS14.01,2014-04-13,0.014021,0.0908135284856191,1.0,-1.25,0.0,0.0,0.0,0.0,0.017202,0.124338,0.546825,0.0,7.2
9,9,AS14.01,2014-03-30,0.049093,0.2047956220543628,0.75,-0.5,0.0,0.0,0.0,0.0,0.037072,0.33951,0.287076,0.0,7.4
37,37,AS14.01,2014-04-27,0.030479,0.2581019028928016,1.0,0.0,0.0,0.0,0.0,0.0,0.004819,0.264925,0.426537,0.0,7.6
18,18,AS14.01,2014-04-08,0.075327,0.6837274825800655,0.333333,-0.4,0.0,0.0,0.1,0.0,0.175823,0.229551,0.627605,0.0,7.4
29,29,AS14.01,2014-04-19,0.099432,0.6018726933737466,1.0,-0.2,0.0,0.002188,0.1,0.0,0.02984,0.035302,0.205237,0.0,7.25
28,28,AS14.01,2014-04-18,0.094033,0.6108139559417305,0.8,-0.8,0.0,0.0,0.1,0.0,0.147799,0.057399,0.39595,0.0,7.8
24,24,AS14.01,2014-04-14,0.083887,0.8143194220010995,0.6,-1.2,0.0,0.0,0.1,0.25,0.162464,0.348368,0.360641,0.0,6.4
25,25,AS14.01,2014-04-15,0.090112,0.6150923201970002,0.8,0.0,0.0,0.0,0.8,0.25,0.325958,0.069526,0.458162,0.0,7.2
36,36,AS14.01,2014-04-26,0.214249,0.7009727399271174,1.0,-0.2,0.0,0.0,0.3,1.0,0.152976,0.00811,0.165861,0.0,7.5
34,34,AS14.01,2014-04-24,0.050903,1.0,1.0,-0.4,0.0,0.0,0.1,0.0,0.121728,0.202159,0.438827,0.0,7.2
26,26,AS14.01,2014-04-16,0.11611,0.5669747344506444,0.5,0.75,0.0,0.0,0.0,0.25,0.152754,0.034077,0.413258,0.0,6.6
10,10,AS14.01,2014-03-31,0.070505,0.5359312607469603,0.6,0.0,0.0,0.004323,0.6,0.0,0.114106,0.148597,0.450512,0.0,6.0
38,38,AS14.01,2014-04-28,0.019675,0.4893414875834889,0.8,-0.8,0.0,0.0,0.2,0.0,0.224276,0.14327,0.434627,0.0,7.0
27,27,AS14.01,2014-04-17,0.056918,0.6799852833484814,0.6,-0.4,0.0,0.0,0.2,0.0,0.140304,0.009471,0.78925,0.0,6.8
2,2,AS14.01,2014-03-23,0.142741,0.3066958888148667,0.8,0.2,0.0,0.0,0.0,0.0,0.132988,0.013928,0.773169,0.004486,6.0
0,0,AS14.01,2014-03-21,0.13405,0.8140232679922983,0.2,0.2,0.009578,0.0,0.6,0.0,0.250766,0.056035,0.349348,0.0,6.4
30,30,AS14.01,2014-04-20,0.074816,0.3777658891562521,0.75,-0.25,0.0,0.0,0.2,0.5,0.268201,0.087192,0.597437,0.0,7.6
3,3,AS14.01,2014-03-24,0.078961,0.6812924632438002,0.0,0.8,0.0002,0.0,1.0,0.0,0.214232,0.064926,0.616097,0.0,6.75
48,50,AS14.02,2014-03-25,0.230514,0.3548679414996889,0.75,-1.25,0.0,0.0,0.28,0.0,0.032011,0.099105,0.601362,0.0,7.2
60,62,AS14.02,2014-04-06,0.21521,0.2793073666350257,-1.25,-1.0,0.0,0.0,0.24,0.0,0.107273,0.169585,0.335434,0.0,6.8
49,51,AS14.02,2014-03-26,0.293953,0.4644677357425398,0.4,-1.2,0.0,0.0,0.2,0.0,0.257351,0.126391,0.417464,0.0,7.25
71,73,AS14.02,2014-04-17,0.470085,0.0031554356822719,0.0,0.25,0.0,0.0,0.4,1.0,0.0,0.0,0.911871,0.0,6.5
61,63,AS14.02,2014-04-07,0.136524,0.4871872550415135,0.6,0.0,0.0,0.0,0.08,0.0,0.315428,0.115906,0.590774,0.0,6.25
45,47,AS14.02,2014-03-22,0.446044,0.580777852724177,-0.5,-1.0,0.0,0.0,1.0,0.1428571428571428,0.053846,0.087345,0.244053,0.0,6.25
63,65,AS14.02,2014-04-09,0.24721,0.4405768750235382,0.25,-0.5,0.0,0.0,0.48,0.1428571428571428,0.05112,0.108944,0.391763,0.0,7.25
53,55,AS14.02,2014-03-30,0.241887,0.3012751984054279,0.75,-1.0,0.0,0.0,0.4,0.1428571428571428,0.082016,0.32476,0.282155,0.0,7.2
74,76,AS14.02,2014-04-20,0.0,0.0,0.0,-0.666667,0.0,0.0,0.36,0.4285714285714285,0.0,0.0,0.0,0.0,5.5
67,69,AS14.02,2014-04-13,0.28982,0.1664281690657831,0.4,-0.6,0.0,0.0,0.04,0.0,0.056588,0.170824,0.393227,0.0,8.0
72,74,AS14.02,2014-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.666667
68,70,AS14.02,2014-04-14,0.187074,0.2122022270845117,1.0,0.75,0.0,0.0,0.32,1.0,0.020489,0.034537,0.657212,0.0,7.25
51,53,AS14.02,2014-03-28,0.261598,0.3037651880177826,0.6,-0.6,0.0,0.0,0.32,0.2857142857142857,0.684509,0.178266,0.313667,0.0,7.25
52,54,AS14.02,2014-03-29,0.432469,0.3369504079932882,0.25,-0.75,0.0,0.0,0.16,0.0,0.11897,0.241474,0.486344,0.0,7.0
46,48,AS14.02,2014-03-23,0.269697,0.346537545461072,0.0,-1.0,0.0,0.0,0.32,0.1428571428571428,0.03798,0.085701,0.406291,0.0,6.4
76,78,AS14.02,2014-04-22,0.075,0.0010009239414118,-0.333333,-1.333333,0.0,0.0,0.6,0.2857142857142857,8.171789,0.0,0.0,0.0,5.5
64,66,AS14.02,2014-04-10,0.260751,0.6002665608758013,0.75,0.25,0.0,0.0,0.04,0.1428571428571428,0.072258,0.088641,0.347546,0.0,6.5
54,56,AS14.02,2014-03-31,0.156373,0.3653331062839913,0.4,-0.8,0.0,0.0,0.56,0.2857142857142857,0.427015,0.074352,0.519742,0.0,7.4
75,77,AS14.02,2014-04-21,0.0,0.0,-0.5,-0.5,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,5.666667
73,75,AS14.02,2014-04-19,0.5,0.014334485822106,-0.333333,-0.666667,0.0,0.0,0.04,0.0,0.0,0.0,0.386185,0.0,5.0
50,52,AS14.02,2014-03-27,0.228849,0.4397775896588674,0.5,0.0,0.0,0.0,0.12,0.0,0.014158,0.085398,0.521499,0.0,6.8
66,68,AS14.02,2014-04-12,0.378302,0.2799846739597416,-1.0,-2.0,0.0,0.0,0.24,0.1428571428571428,0.042962,0.0,0.414551,0.0,7.2
47,49,AS14.02,2014-03-24,0.156125,0.2117129373533776,-0.2,0.2,0.0,0.0,0.2,0.0,0.084145,0.192295,1.088747,0.0,7.75
98,101,AS14.03,2014-04-09,0.092122,0.1632702241957635,1.0,0.6,0.009173,0.0,0.0,0.0,0.0,0.554969,0.430657,0.0,7.4
99,102,AS14.03,2014-04-10,0.108066,0.6460274197972702,1.0,0.4,0.000743,0.0,0.0,0.4,0.001884,0.395586,0.253479,0.0,7.6
82,85,AS14.03,2014-03-24,0.09074,0.5751295136472591,1.4,-0.6,0.020058,0.0,0.3,0.0,0.0,0.625482,0.365288,0.0,7.8
86,89,AS14.03,2014-03-28,0.104679,0.2992015624482221,1.5,-0.5,0.014215,0.0,0.3,0.0,0.0,1.03118,0.289462,0.0,8.6
83,86,AS14.03,2014-03-25,0.132768,0.348969966088964,1.2,-0.4,0.037212,0.0,0.6,0.2,0.0,0.35647,0.344252,0.0,8.25
102,105,AS14.03,2014-04-13,0.078138,0.7136186314632558,1.0,0.2,0.083038,0.0,0.1,0.2,0.0,0.415081,0.308421,0.0,7.0
89,92,AS14.03,2014-03-31,0.083634,0.8651036661475076,0.6,0.4,0.0,0.0,0.3,0.2,0.0,0.180828,0.469522,0.0,7.6
118,121,AS14.03,2014-04-29,0.118696,0.3378138426800396,1.0,-0.6,0.001773,0.0,0.0,0.0,0.0,0.274481,0.488462,0.0,7.0
101,104,AS14.03,2014-04-12,0.127037,0.2294626517436016,1.0,0.333333,0.0,0.0,0.6,0.0,0.0,4.835783,0.092124,0.0,7.4
112,115,AS14.03,2014-04-23,0.12039,0.3932748634905907,0.8,0.6,0.0,0.0,0.0,0.2,0.0,0.560277,0.346305,0.0,7.4
88,91,AS14.03,2014-03-30,0.164651,0.3284988014234535,1.0,-0.2,0.007365,0.0,0.1,0.0,0.0,0.571582,0.342875,0.008954,7.4
124,128,AS14.03,2014-05-06,0.086434,0.1644186336724437,0.0,0.0,0.008343,0.0,0.2,0.0,0.0,0.252945,0.548903,0.0,7.666667
119,122,AS14.03,2014-04-30,0.089692,0.3772163677819384,1.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.48968,0.454785,0.0,7.2
114,117,AS14.03,2014-04-25,0.106168,1.0,1.0,-1.0,0.016431,0.0,0.0,0.0,0.0,0.306796,0.730134,0.0,7.5
81,84,AS14.03,2014-03-23,0.100247,0.4646968994966733,1.2,-0.2,0.032089,0.0,0.1,0.2,0.0,0.344943,0.297746,0.008885,7.8
103,106,AS14.03,2014-04-14,0.092896,0.3894105334084458,0.8,0.0,0.001908,0.0,0.0,0.2,0.009778,0.27247,0.84417,0.0,7.6
79,82,AS14.03,2014-03-21,0.0,0.1532581842131424,2.0,1.0,0.006034,0.0,0.5,0.4,0.0,0.568194,1.035908,0.0,7.8
97,100,AS14.03,2014-04-08,0.103831,0.4120036230683412,1.2,0.4,0.333981,0.0,0.2,0.2,0.0,0.292151,0.152677,0.0,7.8
85,88,AS14.03,2014-03-27,0.103196,0.3015202897350079,0.5,0.25,0.004102,0.0,0.3,0.2,0.0,0.504867,0.284422,0.0,8.0
100,103,AS14.03,2014-04-11,0.120188,0.4587674386858277,1.0,0.2,0.001838,0.0,0.0,0.0,0.0,0.627716,0.340876,0.0,7.666667
91,94,AS14.03,2014-04-02,0.078688,0.3096766117867545,0.6,0.2,0.005558,0.0,0.2,0.0,0.0,0.58899,0.243906,0.0,7.8
87,90,AS14.03,2014-03-29,0.163377,0.2081599121663666,1.6,-0.2,0.0,0.0,0.0,0.2,0.0,1.118439,0.067626,0.0,8.4
120,123,AS14.03,2014-05-01,0.136389,0.3447216975400691,1.0,-0.8,0.016333,0.0,0.1,0.0,0.0,0.808193,0.289222,0.0,7.6
104,107,AS14.03,2014-04-15,0.119555,0.364956478812046,0.8,0.2,0.00152,0.0,0.6,0.0,0.0,0.466618,0.566311,0.0,8.0
122,125,AS14.03,2014-05-03,0.138919,0.6841395028590576,1.0,-0.4,0.0,0.0,0.5,0.0,0.0,0.448084,0.124337,0.0,7.4
93,96,AS14.03,2014-04-04,0.087107,0.2974528061290239,1.4,0.2,0.001907,0.0,0.0,0.6,0.0,0.424443,0.248833,0.0,7.6
110,113,AS14.03,2014-04-21,0.020846,0.5541322861782152,1.0,0.2,0.0,0.0,0.3,0.0,0.0,0.667204,0.040222,0.0,7.6
84,87,AS14.03,2014-03-26,0.091153,0.3669071919195266,1.0,0.5,0.005189,0.0,0.1,0.0,0.0,0.59104,0.324836,0.0,7.75
94,97,AS14.03,2014-04-05,0.114428,0.3546356127551152,1.0,1.2,0.02764,0.0,0.6,0.0,0.0,0.595903,0.288217,0.0,6.8
108,111,AS14.03,2014-04-19,0.20823,0.1327278317187851,0.8,0.6,0.0,0.0,0.4,0.2,0.0,0.046261,0.801147,0.0,7.5
160,166,AS14.05,2014-04-25,0.049053,0.4563386874771213,1.0,-1.2,0.0,0.0,0.2307692307692307,0.0,0.219435,0.145809,0.609763,0.0,7.8
139,145,AS14.05,2014-04-04,0.041457,0.7253774145247759,1.0,-0.8,0.0,0.0,0.2307692307692307,0.0,0.025994,0.029839,0.714155,0.0,7.5
131,137,AS14.05,2014-03-27,0.077176,0.8938876434112684,0.2,-0.6,0.0,0.0,0.0769230769230769,0.1111111111111111,0.0,0.100963,0.776236,0.0,6.2
147,153,AS14.05,2014-04-12,0.049299,0.7368522593069613,1.0,-1.4,0.0,0.0,0.0,0.3333333333333333,0.082605,0.057261,0.760202,0.0,7.5
138,144,AS14.05,2014-04-03,0.052751,0.3644627091240264,0.8,-1.0,0.0,0.0,0.0,0.0,0.140396,0.054853,0.659098,0.0,7.0
129,135,AS14.05,2014-03-25,0.040967,0.7557686512661193,0.333333,-1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.282255,0.622852,0.0,5.5
128,134,AS14.05,2014-03-24,0.006536,0.3306940159330983,-1.0,-2.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.133014,0.876582,0.0,5.333333
155,161,AS14.05,2014-04-20,0.035383,0.6042352249252326,1.0,-1.2,0.0,0.0,0.0,0.0,0.193237,0.081372,0.655428,0.0,7.2
130,136,AS14.05,2014-03-26,0.039237,0.6763983415302723,0.25,-0.5,0.0,0.0,0.0,0.1111111111111111,0.0,0.083952,0.885941,0.0,5.8
149,155,AS14.05,2014-04-14,0.101723,0.3212125671036149,0.4,-1.2,0.0,0.0,0.0,0.0,0.281912,0.096252,0.37027,0.0,7.0
150,156,AS14.05,2014-04-15,0.057297,0.5984066958048213,0.8,0.2,0.0,0.0,0.0,0.0,0.207139,0.079877,0.569831,0.0,7.2
157,163,AS14.05,2014-04-22,0.062848,0.3769816310721073,1.0,0.4,0.0,0.0,0.0769230769230769,0.1111111111111111,0.305695,0.058827,0.468192,0.0,7.2
132,138,AS14.05,2014-03-28,0.045325,0.3814324485966335,0.6,0.0,0.0,0.0,0.0769230769230769,0.0,0.071783,0.85917,0.783907,0.0,6.4
156,162,AS14.05,2014-04-21,0.101777,0.6211493320734852,1.0,-0.6,0.0,0.0,0.0,0.0,0.082734,0.046858,0.758823,0.0,7.2
148,154,AS14.05,2014-04-13,0.114127,0.1865472185374693,1.0,0.333333,0.0,0.0,1.0,0.0,0.084504,0.085919,0.709876,0.0,6.4
145,151,AS14.05,2014-04-10,0.013347,0.2673901557010345,1.0,0.8,0.0,0.0,0.0769230769230769,0.0,0.076475,0.261149,0.624688,0.0,7.0
162,168,AS14.05,2014-04-27,0.018822,0.2418010690312673,1.0,-0.6,0.0,0.0,0.0,0.0,0.17165,0.075526,1.040292,0.0,7.0
144,150,AS14.05,2014-04-09,0.153619,0.6275544207657596,0.75,0.25,0.0,0.0,0.0769230769230769,0.0,0.000906,0.117793,0.787675,0.0,7.2
142,148,AS14.05,2014-04-07,0.066859,0.3969951128062408,0.75,-0.25,0.0,0.0,0.0769230769230769,0.0,0.0,0.069669,0.803624,0.0,6.75
166,172,AS14.05,2014-05-01,0.025292,0.4034611509480942,1.0,-0.2,0.0,0.0,0.0,0.0,0.097407,0.017792,0.818373,0.0,7.0
163,169,AS14.05,2014-04-28,0.010305,0.4807173560129344,1.0,-0.6,0.0,0.0,0.0769230769230769,0.0,0.094549,0.110862,0.777886,0.0,6.8
152,158,AS14.05,2014-04-17,0.115038,0.4335903368801144,0.6,0.4,0.0,0.0,0.0,0.0,0.152596,0.080055,0.747097,0.0,7.5
159,165,AS14.05,2014-04-24,0.039371,0.4018587678562332,1.0,-0.75,0.0,0.0,0.0,0.0,0.107405,0.019586,0.774977,0.0,7.2
161,167,AS14.05,2014-04-26,0.200166,0.4350191570496704,1.0,-0.8,0.0,0.0,0.1538461538461538,0.1111111111111111,0.129444,0.213534,0.613701,0.0,7.4
141,147,AS14.05,2014-04-06,0.077363,0.3386650610564813,1.0,-0.4,0.0,0.0,0.1538461538461538,0.0,0.001414,0.208012,0.844643,0.0,6.75
127,133,AS14.05,2014-03-23,0.085243,0.3167955573181794,-1.0,-1.4,0.0,0.0,0.0769230769230769,1.0,0.0,0.187719,0.721588,0.0,3.75
164,170,AS14.05,2014-04-29,0.041165,0.3039810941873733,0.8,0.4,0.0,0.0,0.0,0.0,0.612646,0.152377,0.715318,0.0,7.0
154,160,AS14.05,2014-04-19,0.060887,0.1937582210088752,0.8,-0.8,0.0,0.0,0.1538461538461538,0.0,0.37043,0.017936,0.467157,0.0,7.2
137,143,AS14.05,2014-04-02,0.073126,0.2668556575189205,1.0,-0.2,0.0,0.0,0.0,0.0,0.091835,0.193754,0.519722,0.0,7.2
165,171,AS14.05,2014-04-30,0.061609,0.2946551142297962,1.0,-0.6,0.0,0.0,0.0,0.0,0.092961,0.027901,0.794349,0.0,6.8
195,204,AS14.06,2014-04-17,0.151671,0.7742033922486548,0.6,0.2,0.024163,0.0,0.1,0.0,0.22393,0.261874,0.36347,0.0,6.25
196,205,AS14.06,2014-04-18,0.146215,0.4427153094553563,0.5,-1.0,0.001428,0.010911,0.3,0.0,0.129528,0.280897,0.492716,0.0,6.8
193,202,AS14.06,2014-04-15,0.200564,0.423124478668261,0.6,-0.4,0.01063,0.0,0.5,0.25,0.415605,0.15876,0.574206,0.001789,7.6
208,217,AS14.06,2014-04-30,0.108884,0.5422224264261565,0.6,-0.6,0.010671,0.0,0.1,0.0,0.185824,0.278335,0.436698,0.0,8.0
171,180,AS14.06,2014-03-24,0.043432,0.1574593095795748,0.0,-1.0,0.0,0.0,0.3,0.0,0.116534,0.427938,0.438757,0.0,7.0
187,196,AS14.06,2014-04-09,0.103096,0.6082890383182525,0.8,0.4,0.048899,0.0,0.1,0.0,0.375894,0.274341,0.43292,0.000104,7.6
178,187,AS14.06,2014-03-31,0.160605,0.4710945901195347,0.4,-0.2,0.003667,0.0,0.1,0.0,0.359779,0.321992,0.274654,0.0,7.75
194,203,AS14.06,2014-04-16,0.145065,1.0,0.4,0.0,0.001161,0.0,0.1,0.0,0.226727,0.152826,0.41252,0.0,6.8
174,183,AS14.06,2014-03-27,0.132329,0.5127050091021252,0.25,0.25,0.0,0.0,0.1,0.0,0.132425,0.300381,0.495379,0.0,7.6
209,218,AS14.06,2014-05-01,0.326727,0.2057399759971622,1.0,0.0,0.003367,0.0,0.2,0.0,0.36816,0.511546,0.349335,0.0,7.2
202,211,AS14.06,2014-04-24,0.235711,0.4511507045933738,0.75,-0.25,0.000559,0.0,0.5,0.75,0.133343,0.149149,0.556915,0.002103,6.4
188,197,AS14.06,2014-04-10,0.224284,0.474110056161941,0.8,-0.2,0.0,0.001208,0.1,1.0,0.414748,0.122725,0.462574,0.003461,7.8
207,216,AS14.06,2014-04-29,0.175197,0.5354988191460784,1.0,0.0,5e-06,0.0,0.2,0.0,0.520978,0.244021,0.495201,0.0,6.8
212,221,AS14.06,2014-05-04,0.167091,0.2437766579660897,0.75,-0.8,0.0,0.0,0.0,0.0,0.368448,0.070174,0.405067,0.0,7.0
210,219,AS14.06,2014-05-02,0.185264,0.429385360838288,1.0,-0.75,0.0,0.0,0.4,0.0,0.393432,0.056673,0.373139,0.001038,6.25
204,213,AS14.06,2014-04-26,0.206597,0.4010499610912308,1.0,0.0,0.021344,0.0,1.0,0.25,0.111517,0.170919,0.432207,0.0,7.2
179,188,AS14.06,2014-04-01,0.225854,0.5254933851543707,0.75,0.0,0.0,0.103563,0.3,0.0,0.265697,0.09265,0.481995,0.0,6.8
197,206,AS14.06,2014-04-19,0.098264,0.3286333244271545,0.6,0.2,0.0,0.0,0.4,0.0,0.036088,0.227022,0.588464,0.0,8.2
184,193,AS14.06,2014-04-06,0.020426,0.332749324107002,0.4,-1.0,0.0,0.0,0.1,0.0,0.574006,0.100586,0.1673,0.0,6.2
176,185,AS14.06,2014-03-29,0.111581,0.2452757593215019,1.0,0.0,0.0,0.0,0.0,0.0,0.321853,0.201313,0.481551,0.0,7.8
170,179,AS14.06,2014-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,7.0
183,192,AS14.06,2014-04-05,0.292274,0.2572319710003771,0.8,-0.4,0.0,0.0,0.2,0.0,0.643635,0.136535,0.340521,0.0,7.0
172,181,AS14.06,2014-03-25,0.137709,0.4852474120718865,0.6,-0.2,0.035827,0.0,0.0,0.0,0.113164,0.388106,0.50854,0.0,8.0
214,224,AS14.06,2014-05-07,0.117385,0.5831811005753322,0.25,-0.5,0.020161,0.0,0.2,0.75,0.232698,0.225936,0.447964,0.000864,7.0
182,191,AS14.06,2014-04-04,0.149524,0.5866874155711355,0.2,-0.4,0.0,0.175133,0.0,0.0,0.317048,0.146234,0.383074,0.0,7.0
198,207,AS14.06,2014-04-20,0.029658,0.3451717136626869,0.8,0.6,0.0,0.0,0.0,0.0,0.539461,0.224104,0.244546,0.0,7.0
191,200,AS14.06,2014-04-13,0.344742,0.4808634195982549,0.25,-1.5,0.0,0.0,0.2,0.0,0.280728,0.092719,0.528906,0.0,7.25
177,186,AS14.06,2014-03-30,0.211298,0.5608271648931586,0.8,0.0,0.0,0.267115,0.1,1.0,0.231941,0.230351,0.061547,0.000544,7.0
186,195,AS14.06,2014-04-08,0.174949,0.5072042237685651,0.0,-0.2,0.021389,0.078836,0.4,0.25,0.187259,0.196596,0.489033,0.0,7.4
189,198,AS14.06,2014-04-11,0.205917,0.4279194684058702,1.0,-0.2,0.013223,0.0,0.0,0.0,0.473269,0.932729,0.431056,0.0,8.2
235,246,AS14.07,2014-04-10,0.098958,0.312662363058814,0.0,0.4,0.0,0.0,0.4615384615384615,0.4,0.301135,0.332626,0.215768,0.0,3.5
229,240,AS14.07,2014-04-04,0.04963,0.558412519951802,0.0,-0.75,0.0,0.0,0.5384615384615384,0.2,0.130956,0.167093,0.493994,0.0,6.0
220,231,AS14.07,2014-03-26,0.103294,0.5119489643892888,0.6,0.2,0.0,0.0,0.6153846153846154,0.4,0.073006,0.13867,0.490386,0.0,6.8
233,244,AS14.07,2014-04-08,0.076801,0.5418687426438566,0.6,-0.4,0.0,0.0,0.0769230769230769,0.0,0.054883,0.082315,0.741251,0.0,6.4
225,236,AS14.07,2014-03-31,0.051366,0.734671213856744,0.0,-1.0,0.0,0.0,0.3846153846153846,0.1,0.175519,0.287729,0.377854,0.0,6.6
247,258,AS14.07,2014-04-22,0.09099,0.318033966656403,0.4,-0.2,0.0,0.0,0.0,0.2,0.020752,0.28916,0.478212,0.0,6.0
226,237,AS14.07,2014-04-01,0.080762,0.8189187232763122,0.8,-1.0,0.0,0.0,0.2307692307692307,0.8,0.072382,0.323561,0.503789,0.0,5.5
222,233,AS14.07,2014-03-28,0.0981,0.7233395430551962,1.5,0.25,0.0,0.0,0.0769230769230769,0.0,0.147737,0.166559,0.369254,0.0,7.0
215,226,AS14.07,2014-03-21,0.0,1.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.103598,0.043628,0.219562,0.0,6.0
224,235,AS14.07,2014-03-30,0.062573,0.486892882632123,0.0,0.2,0.0,0.0,0.1538461538461538,0.1,0.144269,0.069462,0.472975,0.0,4.333333
259,270,AS14.07,2014-05-04,0.082292,0.1226574198642427,1.0,-1.0,0.0,0.0,0.0,0.0,0.114263,0.069667,0.981101,0.0,5.5
221,232,AS14.07,2014-03-27,0.0897,0.5408750452712523,0.4,0.2,0.0,0.0,0.1538461538461538,0.8,0.231923,0.026972,0.496694,0.0,8.25
242,253,AS14.07,2014-04-17,0.118091,0.4350619017697528,-0.4,-1.2,0.0,0.0,0.0769230769230769,0.0,0.123337,0.210721,0.501388,0.0,5.2
